episode,step,state,action,reward
585,1,"[3, 2]",1,0
585,2,"[4, 2]",2,0
585,3,"[4, 3]",1,0
585,4,"[5, 3]",2,0
585,5,"[5, 4]",1,0
585,6,"[6, 4]",1,0
585,7,"[7, 4]",0,0
585,8,"[7, 3]",1,0
585,9,"[8, 3]",1,0
585,10,"[9, 3]",1,0
585,11,"[10, 3]",2,0
585,12,"[10, 4]",1,0
585,13,"[11, 4]",2,0
585,14,"[11, 5]",2,0
585,15,"[11, 6]",2,0
585,16,"[11, 7]",2,0
585,17,"[11, 8]",1,0
585,18,"[12, 8]",2,0
585,19,"[12, 9]",2,0
585,20,"[12, 10]",2,0
585,21,"[12, 11]",2,1
