episode,step,state,action,reward
565,1,"[1, 1]",2,0
565,2,"[1, 2]",2,0
565,3,"[1, 3]",1,0
565,4,"[2, 3]",2,0
565,5,"[2, 4]",1,0
565,6,"[3, 4]",1,0
565,7,"[4, 4]",1,0
565,8,"[5, 4]",1,0
565,9,"[6, 4]",2,0
565,10,"[6, 5]",2,0
565,11,"[6, 6]",2,0
565,12,"[6, 7]",2,0
565,13,"[6, 8]",1,0
565,14,"[7, 8]",1,0
565,15,"[8, 8]",1,0
565,16,"[9, 8]",1,0
565,17,"[10, 8]",2,0
565,18,"[10, 9]",2,0
565,19,"[10, 10]",1,0
565,20,"[11, 10]",2,0
565,21,"[11, 11]",2,0
565,22,"[11, 12]",1,1
