episode,step,state,action,reward
609,1,"[2, 1]",1,0
609,2,"[3, 1]",2,0
609,3,"[3, 2]",1,0
609,4,"[4, 2]",2,0
609,5,"[4, 3]",1,0
609,6,"[5, 3]",2,0
609,7,"[5, 4]",2,0
609,8,"[5, 5]",2,0
609,9,"[5, 6]",1,0
609,10,"[6, 6]",2,0
609,11,"[6, 7]",2,0
609,12,"[6, 8]",2,0
609,13,"[6, 9]",1,0
609,14,"[7, 9]",0,0
609,15,"[7, 8]",1,0
609,16,"[8, 8]",1,0
609,17,"[9, 8]",1,0
609,18,"[10, 8]",1,0
609,19,"[11, 8]",1,0
609,20,"[12, 8]",2,0
609,21,"[12, 9]",2,0
609,22,"[12, 10]",3,0
609,23,"[11, 10]",2,0
609,24,"[11, 11]",2,0
609,25,"[11, 12]",1,1
