episode,step,state,action,reward
602,1,"[1, 3]",1,0
602,2,"[2, 3]",2,0
602,3,"[2, 4]",1,0
602,4,"[3, 4]",1,0
602,5,"[4, 4]",2,0
602,6,"[4, 5]",2,0
602,7,"[4, 6]",2,0
602,8,"[4, 7]",2,0
602,9,"[4, 8]",2,0
602,10,"[4, 9]",2,0
602,11,"[4, 10]",1,0
602,12,"[5, 10]",2,0
602,13,"[5, 11]",2,0
602,14,"[5, 12]",1,0
602,15,"[6, 12]",1,0
602,16,"[7, 12]",1,0
602,17,"[8, 12]",1,0
602,18,"[9, 12]",0,0
602,19,"[9, 11]",0,0
602,20,"[9, 10]",1,0
602,21,"[10, 10]",1,0
602,22,"[11, 10]",1,0
602,23,"[12, 10]",2,0
602,24,"[12, 11]",2,1
